iteration,fidelity
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
7,1.0
8,1.0
10,1.0
13,1.0
14,1.0
15,1.0
18,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
29,1.0
30,1.0
31,1.0
32,1.0
36,1.0
38,1.0
40,1.0
41,1.0
44,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
57,1.0
59,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
73,1.0
74,1.0
75,1.0
77,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
104,1.0
105,1.0
106,1.0
109,1.0
110,1.0
116,1.0
118,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
129,1.0
131,1.0
133,1.0
135,1.0
136,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
156,1.0
157,1.0
158,1.0
160,1.0
161,1.0
163,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
191,1.0
193,1.0
196,1.0
197,1.0
198,1.0
200,1.0
201,1.0
202,1.0
203,1.0
207,1.0
209,1.0
210,1.0
212,1.0
214,1.0
215,1.0
216,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
225,1.0
226,1.0
227,1.0
228,1.0
230,1.0
231,1.0
232,1.0
235,1.0
236,1.0
237,1.0
239,1.0
241,1.0
243,1.0
245,1.0
246,1.0
247,1.0
250,1.0
251,1.0
252,1.0
253,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
266,1.0
268,1.0
269,1.0
271,1.0
272,1.0
275,1.0
276,1.0
278,1.0
279,1.0
280,1.0
282,1.0
283,1.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
293,1.0
294,1.0
296,1.0
298,1.0
300,1.0
301,1.0
303,1.0
304,1.0
308,1.0
309,1.0
310,1.0
311,1.0
313,1.0
316,1.0
318,1.0
319,1.0
320,1.0
321,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
347,1.0
348,1.0
349,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
359,1.0
360,1.0
361,1.0
365,1.0
367,1.0
369,1.0
370,1.0
371,1.0
372,1.0
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,1.0
383,1.0
385,1.0
386,1.0
388,1.0
389,1.0
390,1.0
391,1.0
395,1.0
396,1.0
400,1.0
401,1.0
402,1.0
404,1.0
405,1.0
406,1.0
408,1.0
409,1.0
410,1.0
412,1.0
414,1.0
416,1.0
417,1.0
418,1.0
419,1.0
421,1.0
422,1.0
423,1.0
425,1.0
426,1.0
427,1.0
430,1.0
432,1.0
433,1.0
435,1.0
437,1.0
438,1.0
440,1.0
441,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
450,1.0
452,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
459,1.0
461,1.0
462,1.0
463,1.0
464,1.0
465,1.0
468,1.0
469,1.0
471,1.0
472,1.0
473,1.0
475,1.0
476,1.0
477,1.0
478,1.0
481,1.0
482,1.0
483,1.0
486,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,1.0
496,1.0
497,1.0
498,1.0
499,1.0
